,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,Ph1-Ph6,population_max_delta_stress,stress_factor
100,3.5950206546179317,3.3945368949399284,3.766071525718112,3.672638455004402,3.766071525718112,3.672638455004402,0.11274418369726999,,0.0934330707137101,0.44312494089605337
208,3.5907969335337038,3.6730129619666614,3.394194039336731,3.5688700772703217,3.5907969335337038,3.5688700772703217,0.026458784791920927,,0.02192685626338209,0.3889689852716055
209,3.660296909206106,3.706395710526189,3.793030420624738,3.6842898918738065,3.793030420624738,3.6842898918738065,0.13121544711292807,,0.10874052875093154,0.45471819925211865
210,4.005778162742022,3.8926610572822824,3.966716989186752,3.89200946664526,4.005778162742022,3.89200946664526,0.13728285577849517,,0.11376869609676188,0.45852633270941756
211,3.8425534859920734,3.868074328231699,3.5775438388508585,3.9327500329133067,3.8425534859920734,3.9327500329133067,-0.10883872249159393,,-0.09019654692123336,0.3040511904476865
212,3.7117192414250684,3.298133871543891,3.5271818069663756,3.9740249324504,3.7117192414250684,3.9740249324504,-0.31652005856059073,,-0.26230569102533163,0.17370258729043345
215,3.57424229259229,3.3262483141376724,3.9943006573658737,3.422282109519259,3.9943006573658737,3.422282109519259,0.6902455816129033,,0.5720185478466147,0.8055864984173084
216,3.646125889728275,3.7275453845843978,4.110556269668253,3.7048015246943096,4.110556269668253,3.7048015246943096,0.4896177247941879,,0.40575474497394337,0.6796649236347544
217,3.724921044065577,3.6682403762077795,3.659466027784213,3.4949589199353017,3.724921044065577,3.4949589199353017,0.2774915965868361,,0.2299621241302754,0.5465266020679161
219,3.7008889235140905,3.496173206706371,3.737483193906926,3.548849731448472,3.737483193906926,3.548849731448472,0.22762096525793965,,0.18863346245845403,0.515225921634445
220,3.704235843514131,3.6752371442660587,3.7001998479605187,3.606322828446372,3.704235843514131,3.606322828446372,0.1181500604960119,,0.09791301506775918,0.4465178721189251
231,3.66409893470977,3.678294620887516,3.6480709949630925,3.341351009684113,3.66409893470977,3.341351009684113,0.3894547302047084,,0.3227479250256571,0.6167988679750941
233,3.6355382398062166,4.187896346557315,3.772816217582107,3.605600704671017,3.772816217582107,3.605600704671017,0.2017762700152249,,0.16721551291109016,0.4990048206550408
235,4.086764441376618,3.992015450563441,4.2167128281460045,4.072396358515909,4.2167128281460045,4.072396358515909,0.17414436278534348,,0.1443164696300956,0.4816619983381175
237,3.9091186329010355,3.6653690060062085,3.4006949458332842,3.609208695894824,3.9091186329010355,3.609208695894824,0.3618964973769541,,0.29990993700621127,0.5995022864787832
239,4.016607518085165,3.959762478191529,3.808822780816947,3.576135550400656,4.016607518085165,3.576135550400656,0.5315104390637687,,0.4404719676845086,0.7059583638199216
244,3.6342809439981414,3.808013967901879,3.6867191730086826,3.7609695880700342,3.6867191730086826,3.7609695880700342,-0.089596781646257,,-0.07425041506135166,0.3161281548908991
245,3.9219773673478553,3.952143668820146,3.8698388369237877,3.5826434647448138,3.9219773673478553,3.5826434647448138,0.4094687625863824,,0.3393339026030415,0.6293604260518803
246,4.123201104022717,3.899918168223131,3.7574932435654653,3.942793726189733,4.123201104022717,3.942793726189733,0.21769468124480792,,0.18040737783298377,0.5089958131415757
256,3.609926217924814,3.83789960237505,3.9734414426252846,3.844864502802553,3.9734414426252846,3.844864502802553,0.15515172531389057,,0.12857693982273144,0.46974150605154286
260,3.519311748032407,3.6773939206088953,3.5278179461847383,3.1758118825882926,3.5278179461847383,3.1758118825882926,0.4247600554441274,,0.3520060635964457,0.6389578155053715
261,3.6861423180675463,3.5672412871771133,3.9382682519639447,3.7435364460647844,3.9382682519639447,3.7435364460647844,0.23497973820499143,,0.19473180589916028,0.5198445637943785
263,3.296063853792555,3.6463599986698445,3.5127965226544,3.2767858723935963,3.5127965226544,3.2767858723935963,0.28479025578693407,,0.2360106502608037,0.5511075145835094
264,3.7346283712656367,3.953423646882437,3.6601353542757993,3.8171358055231446,3.7346283712656367,3.8171358055231446,-0.09956039390829856,,-0.08250743425750784,0.30987461778766073
269,3.5716039124010743,3.7925560200533672,3.5536005348147053,3.444511288807671,3.5716039124010743,3.444511288807671,0.15336062479299492,,0.12709262359340334,0.4686173441242746
278,3.038565336127464,3.081789502437414,3.0109940317036186,3.1437590760072593,3.038565336127464,3.1437590760072593,-0.12693559402698945,,-0.10519373987979552,0.2926929144908554
279,3.3334367452445237,3.495579724625092,3.444112459946864,3.535321725398454,3.444112459946864,3.535321725398454,-0.11006075365409292,,-0.0912092654515897,0.30328419781338717
280,3.635235310204815,3.6380354048360934,3.426530454071519,3.2934293936098498,3.635235310204815,3.2934293936098498,0.4124517021117422,,0.3418059165949652,0.6312326308816105
281,3.5232476781742643,3.725867621801632,3.638903590684316,3.7651566729544035,3.638903590684316,3.7651566729544035,-0.15234756378093192,,-0.12625308227008736,0.2767434082733092
282,3.409087929052972,3.523497648984258,3.2539650580918087,3.302752344047813,3.409087929052972,3.302752344047813,0.128313440174873,,0.10633558500515905,0.45289679075250044
283,3.5717104387047036,3.5108100783479737,3.5795725766182205,3.8695721514547405,3.5795725766182205,3.8695721514547405,-0.349937822740328,,-0.28999957483652006,0.1527283439428267
284,3.5787741930022388,3.6369670750334744,3.320792342094708,3.1731206329361763,3.5787741930022388,3.1731206329361763,0.48949562659325785,,0.40565356006606246,0.6795882902201178
