,Ph1-Ph2,Ph1-Ph3,Ph1-Ph4,Ph1-Ph5,Ph1-Ph6,Max_Delta_Stress,Recovery_Delta_Last_Phase,Resilience_Index,population_max_delta_stress,stress_factor
100,0.13208145766206184,0.36275102532084375,0.3548363391282521,0.08955848464488123,,0.3548363391282521,0.08955848464488123,0.2900394522098179,0.2652778544833708,0.5845699915062293
208,0.3788295259311109,0.3014826353118797,0.3896484487312495,0.39712004600222334,,0.3896484487312495,0.39712004600222334,-0.008169012011296519,-0.007471597270973851,0.4100747393265209
209,0.4878881231841133,0.7369536115715982,1.4684660958034028,1.0948647245810863,,1.4684660958034028,1.0948647245810863,0.40847411581033466,0.3736013712223165,0.6538714667201172
210,0.7114152954287903,1.4559333759076583,1.0457725264753612,0.4011971007143915,,1.0457725264753612,0.4011971007143915,0.7047414634731264,0.6445754257609697,0.827230883858257
211,0.5696315930471684,0.47693479193573707,0.27442475758435886,0.5861696422995685,,0.5696315930471684,0.5861696422995685,-0.01808174585521536,-0.0165380492524001,0.40427435067423095
212,0.25129283034241784,0.3915040666116081,0.3625329316158024,1.0732956004274972,1.0014624787651965,0.3625329316158024,1.0014624787651965,-0.6985685865741722,-0.6389295471493941,0.006090740472666071
215,0.05411586731135502,0.34872725475085603,0.8023523057889964,0.3099769853827046,0.3251761951857925,0.8023523057889964,0.3251761951857925,0.521716741099625,0.4771761106032039,0.7201348456250672
216,0.28518937925744825,0.31293774434336585,0.7662741823423482,0.10460030402090832,0.3787669693351385,0.7662741823423482,0.3787669693351385,0.42367795836877803,0.38750721300720975,0.6627679222525431
217,0.40686251340769447,0.23153460894737757,0.3468339093540182,0.3392478496530151,0.31230606001142724,0.40686251340769447,0.31230606001142724,0.10338255335850392,0.09455645339626723,0.47534860263246503
219,0.09957136110406564,0.31711756970020133,0.4289723678358253,0.10886467291331686,0.24420400786149193,0.4289723678358253,0.24420400786149193,0.20201503068180704,0.18476835997433338,0.5330629235475068
220,0.17131875040431127,0.33386773256222163,0.24989075799064803,0.3062372835146807,0.3397367241973755,0.24989075799064803,0.3397367241973755,-0.09823237930135842,-0.08984596620672747,0.35737459203700495
231,0.7725542056475787,0.8044907673760338,0.7837141083001892,0.7017419647743313,0.6873619558196168,0.7837141083001892,0.6873619558196168,0.10534586680492727,0.09635215248057238,0.47649742607661594
233,0.7956459227600196,0.4360840117938783,0.47737132955516404,0.9045789098524477,0.7000725218500793,0.7956459227600196,0.7000725218500793,0.10449442491056503,0.09557340090994026,0.47599920893693426
235,0.5654460806121151,0.5991145570669216,0.510508141097402,0.8512921518059983,1.213895921889551,0.5654460806121151,1.213895921889551,-0.7089775251535013,-0.648449841277436,0.0
237,0.4961817135355795,0.34804539884169405,0.3704180314637261,0.23766390710673863,0.34188462238484835,0.4961817135355795,0.34188462238484835,0.16869950898118313,0.15429709115073115,0.5135685058560678
